Name,Image_link,Price,Product_link
Provogue - The Laptop Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_36169678-a753-4fcd-acac-674db4810a4b_3024x.jpg?v=1692601775,"Rs. 11,399.00",https://kompanero.in/products/provogue-the-laptop-bag?variant=45327827403035
Jackson - The Messenger,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_fdb7f2df-4f7d-49a4-8a11-b5ca4abde0a4_3024x.jpg?v=1692278063,"Rs. 5,499.00",https://kompanero.in/products/jackson-the-messenger?variant=46469077139739
Men's Brown Leather Jacket,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_acc65eed-0a4f-4415-b216-820a8c0770b0_3024x.jpg?v=1687333901,"Rs. 11,399.00",https://kompanero.in/products/mens-brown-leather-jacket?variant=45326530445595
Elijah - The Belt,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_b948149d-1829-424b-8b0a-7e80164737dd_3024x.jpg?v=1691565154,"Rs. 1,749.00",https://kompanero.in/products/elijah-the-belt?variant=45326395539739
Tesha - The Wallet,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_0434ec25-d59f-487a-b9d6-8666c1ba557b_3024x.jpg?v=1692948327,"Rs. 3,518.00",https://kompanero.in/products/tesha-the-wallet?variant=45326253916443
Maya - The Wallet,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_d3c4a71e-cc76-4c19-9577-041167c27d90_3024x.jpg?v=1692947911,"Rs. 2,959.00",https://kompanero.in/products/maya-the-wallet?variant=46587207975195
Harmonia - The Women's Wallet,https://cdn.shopify.com/s/files/1/0731/4312/4251/products/1_bf2c722d-e1a5-4fe5-aecb-30ccc9ae0c27_3024x.jpg?v=1693035106,"Rs. 3,679.00",https://kompanero.in/products/harmonia-the-womens-wallet?variant=45326088732955
Harmonia - The Wallet,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_b8a1d882-931c-45b8-a0fe-ef30f8611cc3_3024x.jpg?v=1693035333,"Rs. 3,998.00",https://kompanero.in/products/harmonia-the-wallet?variant=45326042464539
Cecilia - The Wallet,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_e9fbf5f6-43f4-4535-b704-e021c02375f4_3024x.jpg?v=1693044443,"Rs. 2,959.00",https://kompanero.in/products/cecilia-the-wallet?variant=45325953499419
Aalis - The Wallet,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_3e7a8db8-ba28-4701-9ac6-b77ec1bcf820_3024x.jpg?v=1691562585,"Rs. 2,959.00",https://kompanero.in/products/aalis-the-wallet?variant=45313905819931
Aase - The Wallet,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_50e86661-9675-4194-8e15-0253d914d6d0_3024x.jpg?v=1691562360,"Rs. 2,239.00",https://kompanero.in/products/aase-the-wallet?variant=45313896612123
Lucas - The Belt,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_4ff0aa94-6de1-4a46-a82d-b3d452a1c82a_3024x.jpg?v=1691565249,"Rs. 1,398.00",https://kompanero.in/products/lucas-the-belt?variant=45313822720283
Garrison - The Backpack,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_df6d2672-dcb8-4d7d-a8ad-3e86cdaf236e_3024x.jpg?v=1690607809,"Rs. 14,399.00",https://kompanero.in/products/garrison-the-backpack-1?variant=45313772323099
Harry - The Backpacker,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_12ed0cd5-1daa-49d2-bf55-b5906a573cd0_3024x.jpg?v=1692278211,"Rs. 7,799.00",https://kompanero.in/products/harry-the-backpacker?variant=45313763574043
Ellie - The Handbag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_e45896d1-d30c-40f9-87b6-9f873634fcc6_3024x.jpg?v=1692253472,"Rs. 6,999.00",https://kompanero.in/products/ellie-the-handbag?variant=45313612742939
Evie - The Handbag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/2_bf2e6b86-817c-417c-8628-5a939ce7cbce_3024x.jpg?v=1692366582,"Rs. 5,999.00",https://kompanero.in/products/b-7826?variant=45313560445211
Lara - The Handbag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_29551705-73f4-4f30-ace2-39dd55a7ae7f_3024x.jpg?v=1692628752,"Rs. 11,199.00",https://kompanero.in/products/lara-the-handbag-1?variant=46469090312475
Elena - The Wallet,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_eea18ea5-7f69-455e-aaa0-adf71c225874_3024x.jpg?v=1693043256,"Rs. 2,078.00",https://kompanero.in/products/elena-the-wallet?variant=45312580223259
Alexis - The Wallet,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_cd62b8e9-4122-4b14-a9f9-5ed99cc9b5d9_3024x.jpg?v=1692947480,"Rs. 3,679.00",https://kompanero.in/products/alexis-the-wallet?variant=45312544112923
Ternet - The Backpack,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_0619b908-2e03-4028-af13-41d2e4f933ce_3024x.jpg?v=1692265155,"Rs. 10,798.00",https://kompanero.in/products/ternet-the-backpack?variant=45308832612635
