Name,Image_link,Price
Kizie - The Sling,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_b5dafd6f-07f0-44ef-83c6-f83661c8d48a_3024x.jpg?v=1693464849,"Rs. 3,598.00"
Isabella - The Sling Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/4_b31afecd-aa5a-4c62-a893-77e922d37f6d_3024x.jpg?v=1693462601,"Rs. 5,499.00"
Dazi - The Sling,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_0ecd972a-3ccb-4b0c-ad86-b313e900766d_3024x.jpg?v=1693464382,"Rs. 4,699.00"
Cochella - The Sling,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_6ea2b842-f48f-4b68-b65c-7f02a8348630_3024x.jpg?v=1693465126,"Rs. 6,999.00"
Aurora - The Sling Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/2_9cc16234-b721-4717-aeeb-4027fd27fd86_3024x.jpg?v=1693465487,"Rs. 2,998.00"
William - The Portfolio Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_722b41cb-2abc-438e-9abf-ed7b5a563652_3024x.jpg?v=1693464732,"Rs. 14,997.00"
Marco - The Portfolio,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_736ca5d4-138a-42e1-96fe-b38d3d5f9be9_3024x.jpg?v=1693463181,"Rs. 15,298.00"
Dorian - The Portfolio,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/2_0fe76b40-6b04-4796-8691-233b47335b08_3024x.jpg?v=1693464261,"Rs. 10,798.00"
Rover - The wallet,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_4e0c16f9-d439-4c66-b657-b4c4a36829f6_3024x.jpg?v=1693378942,"Rs. 2,959.00"
Jade - The Wallet,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_f2c104fa-b7ef-4684-9fa7-d3cf04b7ded0_3024x.jpg?v=1693222824,"Rs. 2,798.00"
Araminta - The Wallet,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_98539ae8-5453-458b-842f-6d4e2ae25c51_3024x.jpg?v=1693289161,"Rs. 3,699.00"
Aleena - The Wallet,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_5e4a74ac-f327-4e4d-a091-fc1e978780d6_3024x.jpg?v=1693287538,"Rs. 2,997.00"
Etsy - The Handbag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_07e15a96-9376-494f-ad22-2f217451b7e0_3024x.jpg?v=1693216069,"Rs. 12,498.00"
Lilly - The Backpack,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_81e12e65-abe4-4b89-a533-be2e1ae6c1ce_3024x.jpg?v=1693221831,"Rs. 9,999.00"
Aimee - The Shoulder Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_f91dddf0-e542-4414-bf05-295fa42001b2_3024x.jpg?v=1693220776,"Rs. 7,198.00"
Astratto - The Sling,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_3375c2ab-1a2e-43a9-a43d-597cced856e1_3024x.jpg?v=1693215243,"Rs. 4,199.00"
Harmonia - The Medium Sling Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/3_071a1918-f6c2-4733-bdf8-5e01e151958c_3024x.jpg?v=1691834107,"Rs. 4,197.00"
Kaleido - The Wallet,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_c12d34bd-993e-40df-ba4a-6befc51089e1_3024x.jpg?v=1693030943,"Rs. 2,397.00"
Amy - The Satchel,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/2_f4e9188a-260c-4df0-8ce4-697a90ffd8c7_3024x.jpg?v=1692366681,"Rs. 6,999.00"
